Tibetan	Description
འབབ་བདེ་	A lotus pool in Lateral.
འབབ་ཆུ་རྣམ་ཀྱིས་མངོན་པར་དགའ་བ་	A forest in Total Pleasure.
འབབ་ཆུ་རྣམ་པ་སྣ་ཚོགས་པ་དང་ལྡན་པ་	A mountain in Shining in Manifold Ways.
འབབ་ཆུའི་སྒྲ་དང་ལྡན་པའི་ནགས་	A forest on Great Slope.
འབབ་ཅུ་	A park in Delighting in Flower Garlands.
འབར་བ་འཛིན་	One of the four pīṭhas.
འབར་བའི་དབྱངས་	Buddha in the presence of whom the buddha Devarāja (690 according to the third enumeration) first gave rise to the mind of awakening.
འབར་བའི་ཏོག་	Buddha in the presence of whom the buddha Maṇivajra (281 according to the third enumeration) first gave rise to the mind of awakening.
འབར་བ་	Foremost in terms of insight among the followers of the buddha Velāmarāja.
འབེལ་མ་	Someone who exemplifies generosity, their identity is unknown.
འབིགས་བྱེད་	An Indian mountain chain.
འབིགས་བྱེད་	A low mountain range in central India.
འབིགས་བྱེད་	A mountain in the south of Jambudvīpa.
འབིགས་བྱེད་	A range of mountains located to the north of the Narmada River.
འབིགས་བྱེད་	A mountain range, actually a series of mountain ranges, which extends across central India.
འབིགས་བྱེད་	The Vindhya Mountains are a complex, broken chain of mountain ridges, hill ranges, highlands, and plateau escarpments in west-central India.
འབོད་བྱེད་	One of the śrāvakas attending the delivery of the MMK.
འབྲ་གོ་ཅན་	A village.
འབྲས་འཕེལ་དག་	A city.
འབྲས་འཕེལ་	A city ruled by King Meru before the time of Buddha Śākyamuni.
འབྲས་བུ་ཨ་ལ་བུད་ལྟ་བུར་གཅོད་པ་	One of sixteen realms that surround the Crushing Hell.
འབྲས་བུ་བཞི་	The four results of the hearer’s path.
འབྲས་བུ་ཆེ་བ་	The third level of the fourth concentration.
འབྲས་བུ་ཆེ་བ་	In the Sarvāstivada tradition, the highest of the three paradises that correspond to the fourth dhyāna in the form realm.
འབྲས་བུ་ཆེ་བ་	Twelfth god realm of the form realms, meaning “Great Fruition,” it is the third of the three heavens that make up the fourth dhyāna heaven in the form realm. Also called Asaṃjñisattva.
