Tibetan	Description
ཀ་	stambha
ཀ་ཀ་	kāka
ཀཱ་ཀ་	kāka
ཀ་ཀ་ནི་	1) kapardaka 2) kākaṇi, kākiṇī
ཀ་ཀ་རི་	kakkhaṭī, kakāri
ཀཱ་ཀ་ལླི་	kākalī
སྒྲ་ཆ་ཕྲ་བ་	kākalī
ཀ་ཀི་རི་	kakkhaṭī
ཀ་ཀུ་བྷ་ཡ་	kakubha
ཀ་ཀོ་ལ་	1) eraṇḍa 2) elā 3) kakkola 4) candrabāla 5) nāḍītaraṅga 6) pṛthīka 7) muñja
ཀ་ཁའི་དོ་ཧ་	kakhadoha
ཀ་ཁའི་དོ་ཧའི་བཤད་པ་བྲིས་པ་	kakhadohaṭippaṇa
ཀ་སྒྲོགས་	kāka
ཀ་ཅ་	1) dravya 2) dhana
ཀ་ཆེན་	mahāstambha
ཀ་ཏ་ཀ་	kataka
ཀཱ་ཏཱ་ཡ་ན་	kātyāyana
ཀ་ར་ཡ་ན་ནོག་ཅན་	ka ku daḥ kātyāyana
ཀ་ཏའི་བུ་	kātyāyana
ཀ་ཏའི་བུ་མོ་	1) umā 2) kātyāyanī
ཀ་ཏོ་ར་	kaṭora
ཀཱ་ཏྱཱ་ཡ་ན་	kātyāyana
ཀཱ་ཏྱཱ་ཡ་ན་ཆེན་པོ་	mahākātyāyana
ཀ་ཏྱའི་བུ་	kātyāyana
ཀ་ཏྱའི་བུ་ཆེན་པོ་	mahākātyāyana
ཀ་ཏྱའི་བུ་ནོག་ཅན་	kakudaḥ kātyāyana
ཀ་རྟེན་	kumbhaka
ཀ་ཊོ་ར་	kaṭora
ཀ་དམ་པ་	1) kadamba 2) nīpa 3) priyaka 4) hali, halipriya
ཀ་དམ་པའི་མེ་ཏོག་	kadambapuṣpa
ཀ་དམ་བ་ཀའི་མེ་ཏོག་	kadambapuṣpa
ཀ་དྲུའི་བུ་	kādraviya
ཀ་ན་ཀ་	kanaka
ཀ་ན་ཀ་ཝརྨ་	kanakavarma
ཀ་ནི་ཀ་	kaniṣka
ཀ་ནིསྐ་	kaniṣka
ཀ་ནིས་ཀའི་རྒྱལ་པ་	kaniṣkarāja
ཀ་རཎ་པ་	karṇāta
ཀ་པཱ་ལ་	kapāla
ཀཱ་པ་ལི་ཏཱ་ར་	bhaṭṭārikā kapālatārā
ཀ་པི་	1) kapittha 2) pītana
ཀ་པི་ཀ་ཚ་	kapikacchu
ཀ་པི་ཏ་	kapittha
ཀ་པི་ལ་མུ་ནི་	kapilamuni
ཀ་པི་ལྱ་	kāmpilya
ཀ་པིཏ་ཐ་	1) kapittha 2) dadhittha 3) dantaśaṭa
ཀ་པོད་	śāṇḍilya
ཀ་ཕྲེང་	kāli
ཀ་ཕྲེང་སྒོམ་པའི་ལམ་	kālimārgabhāvanā
ཀ་བ་	1) apastambha 2) stambha 3) sthūṇa 4) sthūṇā
ཀ་བ་བཟང་པོ་	sustambha
ཀཱ་བེ་རི་	kāverī
ཀ་མ་ཆ་	kāmākhya
ཀ་མ་རུ་	kāmarūpa
ཀ་མ་ལ་	1) kamala 2) padma
ཀ་མ་ལ་ཤཱི་ལ་	kamalaśīla
ཀ་ཙ་ལིན་དའི་གོས་	kācalindika
ཀ་ཙ་ལིན་དི་	kācalindika
ཀཱ་ཙི་ཀཱ་	kāñcikā, kuñcikā
ཀ་གཞུ་	1) kṛkāṭaka 2) kṛkāṭṭākhaka
ཀ་ཡ་ཀོའུ་རི་	gayāgaurī
ཀྭ་ཡི་	are
ཀ་ཡིག་	kakāra
ཀ་ར་	1) kaṇḍa 2) śarkarā 3) sitā
ཀ་ར་བི་ར་	1) karavīra 2) caṇḍata 3) pratisara 4) hayamāraka
ཀ་རཉ་ཛ་	1) karañja 2) prakīrya 3) markaṭī
ཀ་རན་ད་བ་	kāraṇḍava
ཀ་རཎ་ཌ་	1) kāraṇḍa 2) kāraṇḍava 3) piṭaka 4) śukla 5) śvita
ཀཱ་རི་ཀཱ་	kārikā
ཀ་རུ་	1) śukla 2) śveta
ཀ་ལཱ་པ་	kalāpa
ཀ་ལཱ་པའི་འགྲེལ་པ་ཉུང་ངུ་ལས་སློབ་མ་ལ་ཕན་པ་ཞེས་བྱ་བ་	kalāpalaghuvṛttiśiṣyahitānāma
ཀ་ལཱ་པའི་མདོ་	kalāpasūtra
ཀ་ལཱ་པའི་མདོ་དང་འགྲེལ་པའི་སི་ལ་སོགས་པའི་རྣམ་དབྱེའི་བྱ་བ་	kalāpasūtravṛtti syādivibhaktiprakriyā
ཀ་ལཱ་པའི་བྱིངས་ཀྱི་མདོ་	kalāpadhātusūtra
ཀ་ལཱ་པའི་ཨུ་ཎ་ལ་སོགས་པའི་མདོ་	kalāpoṇādisūtra
ཀ་ལཱ་པར་འཇུག་པ་	kalāpāvatāra
ཀ་ལ་བིང་ཀ་	kalaviṅka
ཀ་ལ་ཤ་	kalaśa
ཀ་ལན་ཏ་ཀ་	kalandaka
ཀ་ལནྡ་	kalandaka
ཀ་ལན་ད་ཀ་	kalandaka
ཀ་ལན་ད་ཀ་གནས་པ་	kalandakanivāsa
ཀ་ལན་ད་ཀ་གནས་	kalandakanivāpa
ཀ་ལམ་བ་	kalamba
ཀ་ལིང་ཀ་	kaliṅka
ཀ་ལིང་ཀའི་རྒྱལ་པོ་	kaliṅkarājā
ཀ་ལིན་དིའི་བུ་མོ་	kalindī
ཀཱ་ཤ་	kāśa
ཀ་ཤི་ཀ་	kāśika
ཀ་ཤི་ཀའི་རས་	kāśikāṃśuka
ཀཱ་ཤི་མཛེས་པ་	kāśīsundara
ཀ་ཤྱ་	kāśya
ཀ་སེ་རུ་	kaśeru
ཀག་	aśleṣā
སྐག་	aśleṣā
ཀེག་	aśleṣā
ཀང་ཀ་	1) kaṅka 2) jalāṭana
ཀང་ཀ་སྒྲོགས་	kaṅkatu
ཀང་སྒྲ་ཅན་	kaṅka
ཀན་ནི་ཀ་	karṇika
ཀན་ཙི་	kañcī
ཀན་ཟར་པོ་	prāgbhāra
ཀན་ཊ་ཀཱ་རི་	kaṇṭakāri
ཀཎཌ་ཀ་རི་	1) bṛhatī 2) nidigdhikā 3) mahatī
ཀཾ་ཀ་	jalāṭana
ཀམྤ་ལ་སྐྱེས་	kāmpilya
ཀམ་པི་ལ་	kāmpilya
ཀམ་བ་ལ་	kambalī nāgarājā
ཀམ་བོ་ཛ་	kāmboja
ཀརྐ་ཏ་	karkaṭa
ཀརྐ་ཊ་	karkaṭa
ཀརྐས་སྨེད་	karkareṭu
ཀར་ནི་ཀ་	karṇika, karṇikāra
ཀརྨ་ཌཱ་ཀི་	anucarā karmaḍākinī
ཀར་མ་བ་ཛྲ་	karmavajra
ཀརྴ་པན་	kārṣāpaṇa
ཀར་ཤ་པ་ནི་	kārṣāpaṇa, karṣāpaṇa
ཀར་ཤ་པ་ཎ་	kārṣāpaṇa
ཀལྤ་	kalpa
བསྐལ་པ་	kalpa
ཀི་ཀིས་རྩེན་	kikīdivi
ཀི་པའི་དབ་མ་	kīśaparṇī
ཀཱི་རི་ཏ་ཀ་	kirātaka
ཀི་ལི་ཀི་ལ་	1) kalakaladhvani 2) kolāhala
ཀཱི་ཤའི་འདབ་	1) apāmārgapatra 2) kīśapatra
ཀིང་ཀ་ར་	kiṅkara
ཀིང་གཱི་རྩེ་	kalki
ཀིང་ཤུ་ཀ་	kiṃśuka
ཀིམ་པ་ཀ་	kimpāka
ཀིའུ་	gṛñjanaka
ཀུ་ཀུ་	prahelikā
ཀུ་ཀུ་ར་ཙ་	kukkurācārya
ཀུ་ཅོ་	1) kalkala 2) kilikilāyita 3) kolāhala
ཀུ་ཅོ་ཆེ་བར་འདོན་པ་	rāraṭīti
ཀུ་ཎ་ལ་	kuṇāla
ཀུ་ཎཱ་ལའི་རྟོགས་པ་བརྗོད་པ་	kuṇālāvadāna
ཀུ་བ་	1) alābu 2) tumbī
ཀུ་བ་ཁ་མོ་	kaṭutumbī
ཀུ་བ་ལ་	kuvalaya
ཀུ་བ་ལ་མེ་ཏོག་	kuvalaya, utpala
ཀུ་བེ་ར་	1) kubera 2) śreṣṭha
ཀུ་མུ་ད་	1) kumuda 2) somagandha
ཀུ་མུ་ད་ར་	kumudarā
ཀུ་མུ་དའི་ཚལ་	kumudavana
ཟླ་བས་བཞད་ཚལ་	kumudavana
ཀུ་མུད་	kumuda
ཀུ་མུད་ཅན་	kumudavatī
ཀུ་མུད་གཉེན་	kumudabandhu
ཀུ་མུད་གཉེན་བྱེད་	kumudabāndhava
ཀུ་མུད་ལྡན་པ་	kumudinī
ཀུ་ཙན་དན་	kucandana
ཙན་དན་ངན་པ་	kucandana
ཀུ་ར་བ་ཀ་	kuravaka
ཀུ་ར་ར་	kurara
ཀུ་རང་ག་	kuraṅga
ཀུརའི་སྒྲ་ཅན་	kurara
ཀུ་རུ་	kuru
ཀུ་རུ་ཀུ་ལེ་	kurukullā
ཀུ་རུ་ཀུལླ་པ་	kurukullakaḥ
ཀུ་རུ་ཀུལླེ་	kurukullā
ཀུ་རུ་ཀུལླེ་གསང་སྒྲུབ་	guhyasādhana kurukullā
ཀུ་རུ་ཀུལླེའི་སྒྲུབ་ཐབས་	kurukullesādhana
ཀུ་རུ་ཀུལླེའི་སྒྲུབ་པའི་ཐབས་	kurukullesādhana
ཀུ་རུ་ཀུལླེའི་ལས་རབ་ཏུ་བརྒྱང་བ་སྦྱོང་བ་	kurukullekarmaprasaraprayoga
ཀུ་རུ་བི་ཧ་ར་	kuruvihāra
ཀུ་རུ་བིན་ད་	kuruvinda
ཀུ་རེ་	1) keli 2) krīḍā 3) kṣepaka 4) khelā 5) dhamalī 6) līlā 7) hāsya
ཀུ་རེའི་རིམ་པས་མི་དགའ་བ་	kelikrameṇa urati
ཀུ་ལ་ཀཱ་	kulakā
ཀུ་ལཱ་ལ་	kulāla = kunāla
ཀུ་ཤ་	1) kuśa 2) darbha 3) vaddhi
ཀུ་ཤ་ཅན་	kauśika
ཀུ་ཤ་ཆེན་པོ་	mahākuśa
ཀུ་ཤ་བན་དྷ་	kuśabandha
ཀུ་ཤ་གཙང་བསྲེལ་	kuśapavitradhāraka
ཀུ་ཤ་ཀ་	kuśala
ཀུ་ཤའི་གྲོང་ཁྱེར་	kuśanagara, kuśīnagarī
ཀུ་ཤི་ལྡན་	kuśavatī
ཀུ་ཤུ་	pālevatavṛkṣa
ཀུ་ས་ལི་	kuśalin
ཀུ་ས་ལི་བྷ་དྲ་	kuśalibhadra
ཀུ་སུ་མ་	kusuma
ཀུ་ཧུ་	1) kuhu 2) kokila
ཀུ་ཧུའི་མགྲིན་ལྡན་	kuhukaṇṭha
ཀུ་ཧུའི་སྒྲ་ལྡན་	kuhumukha
ཀུང་ཀུམ་	kuṃkuma
ཀུཉ་ཛ་ར་	kunjara
ཀུན་	1) akhila 2) anekadhā 3) ava° 4) ā° 5) kṛtsna 6) nikhila 7) pari° 8) vi° 9) sam° 10) sakala 11) samanta 12) samasta 13) sarva 14) 15)
ཀུན་ཀྱང་	sarvatra
ཀུན་ཀྲམ་	ākīrṇa
ཀུན་སྐྱེ་	1) avaroha 2) āsava 3) udbhūta 4) upapatti
ཀུན་སྐྱོབ་	1) ākśepa 2) prahasana 3) saṃkopa
ཀུན་སྐྱོབས་	viśvabhuk
ཀུན་བསྐོར་	avṛta
ཀུན་ཁེབས་	1) ācchādana 2) vyoman
ཀུན་ཁྱབ་	1) ākāś 2) ābiṣaya 3) vyoman 4) hari
ཀུན་ཁྱབ་མུན་པ་	samantamasaḥ
ཀུན་ཁྱབ་བཞིན་སྟོན་	samantaspharaṇamukhadarśana
ཀུན་ཁྲོ་	ākrośaka
ཀུན་མཁྱེན་	1) āvid 2) vaidya 3) sarvajña 4) sarvavid
ཀུན་མཁྱེན་ཉི་མའི་གཉེན་	sarvajñasūryavaṃśa
ཀུན་མཁྱེན་ཉིད་	1) sarvajñatā 2) sarvajñatva
ཀུན་མཁྱེན་དབྱིག་གཉེན་	sarvajña vasumitra
ཀུན་མཁྱེན་ཡེ་ཤེས་ལ་ནི་སེམས་གྲོལ་ཞིང་	sarvajñajñanottaraṇaya
ཀུན་འཁྱམས་	paribhrāmaka
ཀུན་འཁྱིལ་	āvartanī
ཀུན་འཁྲུགས་	1) ākula 2) vyagra
ཀུན་འཁྲུལ་	paribhrama
ཀུན་གྱི་	sarvi
ཀུན་གྱི་དཀྱིལ་	samantatala
ཀུན་གྱི་ཁུར་ཅན་	sarvadhurīṇa
ཀུན་གྱི་ཟུགས་	mūrtimat
ཀུན་གྱིས་བཀུར་བ་	1) mahāsaṃmata 2) saṃmatīya
