Tibetan	Description
ཀ་འཁོར་བ་	[E: [s: [c.e: [HP] «[beginning of alphabet-cycle]; beginningless cyclic existence; cycling from the beginning; cycling from the first letter of the alphabet, ka» ] ]
ཀ་བ་	[E: [s: [c.e: [HP] «pillar; column; pole; post» ] [c.df.b:[l:mtshan nyid]« gdung 'degs don beyd nus pa»] [c.df.e:[l:Def.:]« That which can perform the function of supporting a cross-piece/rafter.»] ]
ཀཱ་ཡ་	[E: [s: [c.s: «kāya» ] [c.e: [HP] «body [transliteration of the Sanskrit kāya]» ] ]
ཀུན་	[E: [s: [c.s: [b:C,MSA] «sarva» ] [c.s: [b:MSA] «akhila» ] [c.s: [b:MSA] «kṛtsna» ] [c.s: [b:MSA] «samagra» ] [c.s: [b:TN] «mātra» ] [c.e: [HP] «all; complete; entire; whole; total; entirety; thorough» ] [c.e: sems can kun » «all sentient beings» ] ]
ཀུན་མཁྱེན་	[E: [g: [p:vb] [t: i:མཁྱེན་ i:མཁྱེན་ i:མཁྱེནད་ i:མཁྱེནད་ ]] [s: [c.s: [b:LCh,C] «sarvajñā» ] [c.s: [b:C] «sarvajñatā» ] [c.s: [b:C] «sarvajñatva» ] [c.s: «sarvākārajñāna» ] [c.e: [HP] «omniscient; all-knowing; omniscient one; all-knowing one; omniscience; omniscient consciousness» ] [c.e: [b:C] «(state of) all-knowledge» ] [c.e: kun mkhyen 'phags pa 'od » «the omniscient Pak-b#a-ö» ] ]
ཀུན་མཁྱེན་ཉིད་	[E: [g: [p:vb] [t: i:མཁྱེན་ i:མཁྱེན་ i:མཁྱེནད་ i:མཁྱེནད་ ]] [s: [c.s: «sarva-jñatva» ] [c.e: [HP] «omniscience; all-knowingness» ] [c.e: [b:C] «(state of) all-knowledge» ] ]
ཀུན་མཁྱེན་བུ་རམ་ཤིང་པ་	"[E: [g: [p:vb] [t: i:མཁྱེན་ i:མཁྱེན་ i:མཁྱེནད་ i:མཁྱེནད་ ]] [s: [c.s: «ikṣvāku» ] [c.e: [HP] «The Omniscient Sugar-Cane One» ] [n:Comment: This is an epithet of Shākyamuni Buddha. The lineage of Shākyamuni Buddha is traced back to a child born from an egg, which formed from semen that dripped onto a sugarcane leaf from a man wrongly accused as a killer. The child, lineage, and Shākyamuni are known as Sugar-Cane One"""" (MED, 355).""""] ]"
ཀུན་དགའ་སྙིང་པོ་	"[E: [s: [c.s: «Ānandagarbha» ] [c.e: [HP] «Ānandagarbha» ] [n:Comment: Three Indian scholars are renowned especially for their works on Yoga Tantra, whom New Translation Schools consider the """"Three People Expert/Proficient in Yoga [Tantra]"""" (yoga la mi mkhas pa gsum): Buddhaguhya (sangs rgyas gsang ba; fl. mid eighth century), Shākyamitra (shā kya bshes gnyen), and Ānandagarbha (kun dga' snying po; fl. late ninth or early tenth century). D#zong-ka-b#a relies on Ānandagarbha for Yoga Tantra but criticizes his interpretation of the Guhyasamāja Tantra.] ]"
ཀུན་དགའ་ར་བ་	[E: [s: [c.s: «ārāma» ] [c.e: [HP] «pleasure grove» ] ]
ཀུན་འགྲོ་ལྔ་	[E: [s: [c.e: [HP] «the 5 omnipresent [mental factors]; the 5 omnipresent [mental] factors» ] «kun 'gro'i dbye ba ni/ tshor ba/ 'du shes/ sems pa/ yid la byed/ reg pa/»] [c.d.e:[l:Div.:]« feeling (vedanā), discrimination (samjñā), intention / attention (cetanā), mental engagement (manasikāra), contact (sparśa).»] [n:Comment: The five omnipresent mental factors are one of six main groupings of mental factors (sems byung, caitta): (1) five omnipresent (kun 'gro, sarvatraga) mental factors; (2) five determining (yul nges, viṣaya-pratiniyama) mental factors; (3) eleven virtuous (dege ba, kuśala) mental factors; (4) six root afflictions (rtsa nyon, mūla-kleśa); (5) twenty secondary afflictions (nye nyong, upakleśa); and (6) four changeable (gzhan 'gyur, anyathābhāva) mental factors.] [c.e: kun 'gro lnga dang yul nges lnga / dge ba bcu gcig rtsa nyon drug nye nyon nyi shu gzhan 'gyur bzhi/ sems byung nga gcig 'di dag go» «Five omnipresent factors, five determining factors, eleven virtuous factors, six root afflictive emotions, twenty secondary afflictive emotions, and four changeable factors are the fifty-one mental factors.» ] ]
ཀུན་འགྲོ་བདག་ཉིད་	[E: [s: [c.s: [b:MSA] «sarva-gātmika» ] [c.e: [HP] «that which has an omnipresent nature» ] ]
ཀུན་འགྲོའི་རྒྱུ་	[E: [s: [c.s: «sarvatraga-hetu» ] [c.e: [HP] «omnipresent cause» ] [n:Comment: One of the six kinds of causes; for others see rgyu.] ]
ཀུན་བརྗོད་པའི་ཆོ་འཕྲུལ་	[E: [g: [p:vb] [t: i:བརྗོད་ i:རྗོད་ i:བརྗོད་ i:རྗོད་ ]] [s: [c.s: [b:C,MSA] «ādeśanā-prātihārya» ] [c.e: [b:C] «miraculous reading of thoughts» ] [n:Comment: More likely, this is the miraculous ability to speak in all languages.] ]
ཀུན་ཏུ་	[E: [s: [c.s: [b:MSA] «sarvatra» ] [c.s: «samantatas» ] [c.s: «samanta» ] [c.e: [HP] «in all ways; everywhere; always; at all times; in every way; entirely; thoroughly; completely; wholly; totally» ] [c.e: [b:C] «in every way» ] ]
ཀུན་ཏུ་སྐྱོ་བ་	[E: [s: [c.s: [b:MV] «saṃvega» ] [c.e: [HP] «thoroughly despondent; thoroughly sad; thoroughly depressed; pathetic; thoroughly disgusted» ] ]
ཀུན་ཏུ་སྐྲག་	[E: [g: [p:vb] [t: i:སྐྲག་ i:སྐྲག་ i:སྐྲགས་ i:སྐྲགས་ ]] [s: [c.s: [b:MSA] «(saṃ √tras): saṃtrāsayati» ] [c.e: [HP] «thoroughly fear; be terrified; be frightened» ] ]
ཀུན་ཏུ་འཁྲུགས་པ་	[E: [g: [p:vb] [t: i:འཁྲུག་ i:འཁྲུག་ i:འཁྲུགས་ i:འཁྲུགས་ ]] [s: [c.s: [b:MSA] «saṃkṣubdha» ] [c.e: [HP] «thoroughly disturbed» ] ]
ཀུན་ཏུ་རྒྱུ་བ་	[E: [g: [p:vb] [t: i:རྒྱུ་ i:རྒྱུ་ i:རྒྱུ་ i:རྒྱུ་ ]] [s: [c.s: [b:C] «parivrājaka» ] [c.e: [HP] «wanderer; moving; wandering» ] [c.e: [b:C] «wanderer» ] ]
ཀུན་ཏུ་འཇོམས་པ་	[E: [g: [p:vb] [t: i:གཞོམ་ i:འཇོམས་ i:བཅོམ་ i:ཆོམས་ ]] [s: [c.s: [b:C] «samudghāta» ] [c.e: [HP] «thoroughly conquered; thoroughly destroyed; thoroughly wrecked» ] ]
ཀུན་ཏུ་རྟོག་པ་	[E: [s: [c.s: [b:MSA, MV, C] «parikalpita» ] [c.s: [b:MSA] «parikalpana» ] [c.e: [HP] «conceptuality; thorough conceptualization; imputed; imputational; imaginary; thoroughly [mentally] constructed; imagined» ] ]
ཀུན་ཏུ་རྟོགས་པ་	[E: [g: [p:vb] [t: i:རྟོགས་ i:རྟོགས་ i:རྟོགས་ i:རྟོགས་ ]] [s: [c.s: [b:MSA] «saṃkalpa» ] [c.e: [HP] «thorough realization; thoroughly realize» ] ]
ཀུན་ཏུ་སྟོན་པ་	[E: [g: [p:vb] [t: i:བསྟན་ i:སྟོན་ i:བསྟནད་ i:སྟོནད་ ]] [s: [c.s: [b:C] «ādarśana» ] [c.s: [b:C] «avadarśika» ] [c.s: [b:C] «ākhyāna» ] [c.s: [b:MSA] «darśana» ] [c.s: [b:MSA, MV] «saṃdarśana» ] [c.e: [HP] «thoroughly teach; thoroughly show; thoroughly demonstrate; thoroughly reveal; thoroughly disclose» ] [c.e: [b:C] «perceive; show up [in a mirror]; advise; tale; communication» ] ]
ཀུན་ཏུ་བསྟན་པ་	[E: [g: [p:vb] [t: i:བསྟན་ i:སྟོན་ i:བསྟནད་ i:སྟོནད་ ]] [s: [c.s: [b:C] «ādarśayati» ] [c.e: [HP] «thoroughly teach; thoroughly show; thoroughly demonstrate; thoroughly reveal; thoroughly disclose» ] [c.e: [b:C] «show up (in a mirror)» ] ]
ཀུན་ཏུ་འདྲེས་པ་	[E: [g: [p:vb] [t: i:འདྲེས།འདྲེ་ i:འདྲེས།འདྲེ་ i:འདྲེས་ i:འདྲེས་ ]] [s: [c.s: «ākīrṇa» ] [c.e: [HP] «thoroughly mixed/conflated/blended» ] ]
ཀུན་ཏུ་སྣང་	[E: [g: [p:vb] [t: i:སྣང་ i:སྣང་ i:སྣང་ i:སྣང་ ]] [s: [c.s: [b:C] «saṃdṛśyate» ] [c.e: [HP] «appears; is beheld; appear bright; thoroughly illuminate» ] [c.e: [b:C] «be equal to(?)» ] ]
ཀུན་ཏུ་སྣང་བ་	[E: [g: [p:vb] [t: i:སྣང་ i:སྣང་ i:སྣང་ i:སྣང་ ]] [s: [c.s: [b:C] «samanta-avabhāso» ] [c.s: [b:C] «samanta-āloko» ] [c.e: [HP] «thorough illumination» ] [c.e: [b:C] «All-round Illumination; Illumination All-round» ] ]
ཀུན་ཏུ་སྦྱོར་བ་	[E: [g: [p:vb] [t: i:སྦྱར་ i:སྦྱོར་ i:སྦྱརད་ i:སྦྱོརད་ ]] [s: [c.s: [b:LCh,MV] «saṃyojana» ] [c.s: [b:C] «saṃyunakti» ] [c.e: [HP] «thoroughly join together; unite; practice; apply; affix; entanglement; thorough enwrapment» ] [c.e: [b:C] «deprivation; loss» ] ]
ཀུན་ཏུ་འཛིན་པ་	[E: [g: [p:vb] [t: i:གཟུང་ i:འཛིན་ i:བཟུང་ i:ཟུངས་ ]] [s: [c.s: [b:MSA,C] «āgraha» ] [c.s: [b:MSA] «dhāraṇa» ] [c.e: [HP] «thorough grasping; thorough apprehension» ] [c.e: [b:C] «acquisitiveness» ] ]
ཀུན་ཏུ་ཞུམ་པ་	[E: [g: [p:vb] [t: i:འཇུམ་ i:འཇུམས་ i:ཞུམ་ i:ཞུམས་ ]] [s: [c.s: [b:C] «ālīna» ] [c.e: [HP] «become thoroughly slack/weak/timid/cowardly» ] [c.e: [b:C] «cling(ing) to; hanging on to» ] ]
ཀུན་ཏུ་འོད་	[E: [s: [c.s: «samantaprabhā» ] [c.e: [HP] «Completely Radiant» ] ]
ཀུན་ཏུ་ཤེས་པར་བྱ་བ་	[E: [s: [c.s: [b:MSA] «ājñeyā» ] [c.e: [HP] «that which is to be thoroughly known/understood/comprehended» ] ]
སོང་	[E: [g: [p:vb] [t: i:སོང་ i:སོང་ i:སོང་ i:སོང་ ]] [s: [c.s: [b:MSA] «sarvaga» ] [c.e: [HP] «[all-to-go]; all-pervasive; omnipresent; go everywhere» ] ]
ཀུན་ཏུ་བསགས་པ་	[E: [g: [p:vb] [t: i:བསག་ i:གསོག་ i:བསགས་ i:གསོགས་ ]] [s: [c.s: [b:C] «acita» ] [c.e: [HP] «thoroughly accumulated/collected» ] [c.e: [b:C] «piled up» ] ]
ཀུན་ཏུ་བསྲུང་བར་བྱེད་པ་	[E: [g: [p:vb] [t: i:བསྲུང་ i:སྲུང་ i:བསྲུངས་ i:སྲུངས་ ]] [s: [c.s: [b:MSA] «ārakṣa» ] [c.e: [HP] «thoroughly protect/guard/keep/safeguard/maintain/preserve [e.g., vows and pledges]» ] ]
ཀུན་གཏོང་	[E: [g: [p:vb] [t: i:གཏང་ i:གཏོང་ i:བཏང་ i:ཐོངས་ ]] [s: [c.s: [b:C] «saṃtyāga» ] [c.e: [HP] «give away all» ] [c.e: [b:C] «complete renunciation» ] ]
ཀུན་གཏོང་བ་	[E: [g: [p:vb] [t: i:གཏང་ i:གཏོང་ i:བཏང་ i:ཐོངས་ ]] [s: [c.s: [b:MSA] «sarvāsti-dāna» ] [c.e: [HP] «giving away all» ] ]
ཀུན་བཏགས་	[E: [g: [p:vb] [t: i:གདགས་ i:འདོགས་ i:བཏགས།བརྟགས་ i:ཐོགས་ ]] [s: [c.s: [b:MSA] «parikalpita» ] [c.e: [HP] «thoroughly imputed; imaginary; imputed; imputational factor; imagined; artificial; acquired; thoroughly [mentally] constructed; artificial [intellectually acquired]; imputational [nature]» ] [n:Comment: This is one of three natures: (1) imputational natures (kun btags, parikalpita), other-powered natures (gzhan dbang, paratantra), and thoroughly established natures (yongs grub, pariniṣpanna). As artificial (or acquired), it is opposed to innate (lhan skyes).] [c.e: bden 'dzin kun btags » «artificial/ acquired conception of true existence» ] ]
ཀུན་བཏགས་ཀྱི་ངོ་བོ་ཉིད་	[E: [g: [p:vb] [t: i:གདགས་ i:འདོགས་ i:བཏགས།བརྟགས་ i:ཐོགས་ ]] [s: [c.s: «parikalpitasvabhāva» ] [c.e: [HP] «imputational nature; imaginary nature» ] [n:Comment: This is one of three natures: (1) imputational natures (kun btags, parikalpita), other-powered natures (gzhan dbang, paratantra), and thoroughly established natures (yongs grub, pariniṣpanna).] ]
ཀུན་བཏགས་པའི་ཆོས་	[E: [g: [p:vb] [t: i:གདགས་ i:འདོགས་ i:བཏགས།བརྟགས་ i:ཐོགས་ ]] [s: [c.s: [b:ME] « parikalpita-dharma» ] [c.e: [HP] «imputed phenomenon; imaginary phenomenon» ] ]
ཀུན་བཏགས་པའི་མཚན་ཉིད་	[E: [g: [p:vb] [t: i:གདགས་ i:འདོགས་ i:བཏགས།བརྟགས་ i:ཐོགས་ ]] [s: [c.s: «parikalpita-lakṣaṇa» ] [c.e: [HP] «imputational character; imaginary character» ] [n:Comment: This is one of three characters: (1) imputational characters (kun btags, parikalpita), other-powered characters (gzhan dbang, paratantra), and thoroughly established characters (yongs grub, pariniṣpanna).] ]
ཀུན་བཏུས་	[E: [g: [p:vb] [t: i:བཏུ་ i:འཐུ་ i:བཏུས་ i:འཐུ་ ]] [s: [c.s: [b:LCh] «samuccaya» ] [c.e: [HP] «group; collect; summary; compendium; [Asaṅga's] Summary [of Manifest Knowledge]» ] [c.e: mngon pa kun btus » «Abhidharmasamuccaya [Asaṅga's Summary of Manifest Knowledge]» ] [c.e: chos kun btus » «Dharmasaṃgīti [Compendium of Doctrine Sūtra]» ] ]
ཀུན་བརྟགས་	[E: [g: [p:vb] [t: i:གདགས་ i:འདོགས་ i:བཏགས།བརྟགས་ i:ཐོགས་ ]] [s: [c.s: [b:MSA, MV, LCh] «parikalpita» ] [c.s: [b:LCh] «parikalpana» ] [c.s: [b:C] «saṃkalpita» ] [c.s: [b:MSA] «kalpita» ] [c.s: [b:MV] «parikḷp» ] [c.s: «parikalpyate» ] [c.e: [HP] «imputational [nature]; imputation; artificial; acquired; imputational factor; thoroughly [mentally] constructed; imagined; imaginary; imputed; thoroughly imputed; imputational» ] [c.e: [b:C] «represent what is not really there» ] [c.df.b:[l:mtshan nyid]« kun brtags gzhan dbang yongs grub gsum po gang rung gang zhig rnam dag gi dmigs pa mthar thug pa min zhing don byed mi nus pa/»] [c.df.e:[l:Def.:]« that which is (1) any of the three: imputational nature, other-powered nature, or thoroughly established nature and (2) not a final object of observation of purification and not able to perform a function»] [l:dbye ba]« 1 mtshan nyid yongs su chad pa'i kun brtags/ 2 rnam grangs pa'i kun brtags/»] [c.d.e:[l:Div.:]« (1) imputational natures of which the character is thoroughly nil; (2) enumerated imputational natures»] ]
ཀུན་བརྟགས་པ་	[E: [g: [p:vb] [t: i:གདགས་ i:འདོགས་ i:བཏགས།བརྟགས་ i:ཐོགས་ ]] [s: [c.s: «parikalpita» ] [c.e: [HP] «imputational [nature]; imputation; artificial; acquired; imputational factor; thoroughly [mentally] constructed; imagined; imaginary; imputed; thoroughly imputed; imputational» ] ]
ཀུན་བརྟགས་པ་ལ་སོགས་པའི་ངོ་བོ་ཉིད་གསུམ་	[E: [g: [p:vb] [t: i:གདགས་ i:འདོགས་ i:བཏགས།བརྟགས་ i:ཐོགས་ ]] [s: [c.s: [b:MSA] «parikalpita-ādi-svabhāva(tri-)» ] [c.e: [HP] «the three natures—imputational and so forth [i.e., other-powered and thoroughly established]» ] ]
ཀུན་བརྟགས་པའི་གང་ཟག་མེད་པ་	[E: [g: [p:vb] [t: i:གདགས་ i:འདོགས་ i:བཏགས།བརྟགས་ i:ཐོགས་ ]] [s: [c.s: [b:MSA] «parikalpita-pudgala-abhāva» ] [c.e: [HP] «non-existence of the imputed person» ] ]
ཀུན་བརྟགས་པའི་ངོ་བོ་ཉིད་	[E: [g: [p:vb] [t: i:གདགས་ i:འདོགས་ i:བཏགས།བརྟགས་ i:ཐོགས་ ]] [s: [c.s: [b:MSA] «parikalpita-svabhāva» ] [c.e: [HP] «imputational nature; imaginary nature» ] ]
ཀུན་བརྟགས་པའི་ཆོས་ཐམས་ཅད་	[E: [g: [p:vb] [t: i:གདགས་ i:འདོགས་ i:བཏགས།བརྟགས་ i:ཐོགས་ ]] [s: [c.s: [b:MSA] «sarva-dharmāṇāṃ parikalpitānāṃ» ] [c.e: [HP] «all imputational phenomena; all imaginary phenomena» ] ]
ཀུན་བརྟགས་པའི་ཆོས་མེད་པ་	[E: [g: [p:vb] [t: i:གདགས་ i:འདོགས་ i:བཏགས།བརྟགས་ i:ཐོགས་ ]] [s: [c.s: [b:MSA] «parikalpita-dharma-abhāva» ] [c.e: [HP] «non-existence of imputational phenomena; non-existence of imputed phenomena» ] ]
ཀུན་བརྟགས་པའི་བདག་མེད་	[E: [g: [p:vb] [t: i:གདགས་ i:འདོགས་ i:བཏགས།བརྟགས་ i:ཐོགས་ ]] [s: [c.s: [b:MSA] «parikalpita ātma nāsti» ] [c.e: [HP] «non-existence of the imputed self» ] ]
ཀུན་བརྟགས་པའི་མཚན་ཉིད་	[E: [g: [p:vb] [t: i:གདགས་ i:འདོགས་ i:བཏགས།བརྟགས་ i:ཐོགས་ ]] [s: [c.s: [b:MSA] «parikalpita-lakṣaṇa» ] [c.e: [HP] «imputational character; imaginary character» ] ]
ཀུན་བརྟགས་པའི་གཟུགས་	[E: [g: [p:vb] [t: i:གདགས་ i:འདོགས་ i:བཏགས།བརྟགས་ i:ཐོགས་ ]] [s: [c.s: «parikalpita-rūpa» ] [c.e: [HP] «imputational form» ] [n:Comment: One in the triad of imputational form (kun brtags pa'i gzugs), imputed form (rnam par brtags pa'i gzugs), and form of reality (chos nyid kyi gzugs), the last meaning the reality of form in Ge-luk and noumenal form in Jo-nang. These three correspond to the three natures of a form: imputational nature, other-powered nature, and thoroughly established nature of a form.] ]
ཀུན་ད་	[E: [s: [c.s: «kunda» ] [c.e: [HP] «kunda [transliteration of Sanskrit word for jasmine]; jasmine» ] [n:Comment: Jasmine, as an example of whiteness, is used to refer to seminal fluid.] ]
ཀུན་འདུས་	[E: [g: [p:vb] [t: i:འདུ་ i:འདུ།འདུད་ i:འདུས་ i:འདུས་ ]] [s: [c.e: [HP] «[all-assemble]; compendium; composite» ] ]
ཀུན་འདྲི་	[E: [s: [c.s: [b:C] «sampraśna» ] [c.e: [HP] «question» ] [c.e: [b:C] «questioning» ] ]
ཀུན་བསྡུས་པ་	[E: [g: [p:vb] [t: i:བསྡུ་ i:སྡུད་ i:བསྡུས་ i:སྡུས་ ]] [s: [c.s: [b:MSA] « saṃgraha» ] [c.e: [HP] «summary; compendium» ] ]
ཀུན་ནས་	[E: [s: [c.s: [b:C,MSA] «samantāt» ] [c.s: [b:C] «sarvatas» ] [c.e: [HP] «[all-from]; completely; thoroughly; complete; in every way» ] [c.e: [b:C] «from every direction; everywhere; at all times; in every direction» ] ]
ཀུན་ནས་ཉོན་མོངས་གཉེན་པོ་	[E: [s: [c.s: [b:MSA] «saṃkleśa-prātipakṣika» ] [c.e: [HP] «antidote to thorough afflictions» ] ]
ཀུན་ནས་ཉོན་མོངས་པ་རྗེས་སུ་བསྲུང་བ་	[E: [g: [p:vb] [t: i:བསྲུང་ i:སྲུང་ i:བསྲུངས་ i:སྲུངས་ ]] [s: [c.s: [b:MSA] «saṃkleśasyānurakṣaṇā» ] [c.e: [HP] «protect/guard/keep/maintain/preserve/safeguard against thorough afflictions» ] ]
ཀུན་ནས་ཉོན་མོངས་པ་དང་རྣམ་པར་བྱང་བ་མི་ལྟ་བ་	[E: [g: [p:vb] [t: i:བལྟ་ i:ལྟ་ i:བལྟས་ i:ལྟོས་ ]] [s: [c.s: [b:MSA] «saṃkleśa-vyavadānādarśana» ] [c.e: [HP] «not viewing the afflicted and the purified» ] ]
ཀུན་ནས་ཉོན་མོངས་པ་དང་རྣམ་པར་བྱང་བ་ཡང་དག་པར་སྟོན་པ་	[E: [g: [p:vb] [t: i:བསྟན་ i:སྟོན་ i:བསྟནད་ i:སྟོནད་ ]] [s: [c.s: [b:MSA] «saṃkleśa-vyavadāna-saṃdeśanatā» ] [c.e: [HP] «teaching the afflicted and the purified; teaching on afflictions and purifications» ] ]
ཀུན་ནས་ཉོན་མོངས་པ་དང་རྣམ་པར་བྱང་བ་	[E: [g: [p:vb] [t: i:འབྱང་ i:འབྱངས་ i:བྱང་ i:འབྱོངས་ ]] [s: [c.s: [b:MSA] «saṃkleśa-vyavadāna» ] [c.s: [b:MV] «saṃkleśa-viśuddhi» ] [c.s: [b:MV] «saṃkliṣṭa-vyavadāna» ] [c.s: [b:MV] «saṃkleśo vyavadānam» ] [c.s: [b:MV] «saṃkleśika-vaiyavadānika» ] [c.e: [HP] «the afflicted and the pure; afflictions and purifications» ] ]
ཀུན་ནས་ཉོན་མོངས་པ་དང་རྣམ་པར་བྱང་བའི་མཚན་ཉིད་	[E: [g: [p:vb] [t: i:འབྱང་ i:འབྱངས་ i:བྱང་ i:འབྱོངས་ ]] [s: [c.s: [b:MSA] «saṃkleśa-vyavadāna-lakṣaṇa» ] [c.e: [HP] «characters of the afflicted and the purified» ] ]
ཀུན་ནས་ཉོན་མོངས་པ་དང་རྣམ་པར་བྱང་བ་དག་	[E: [g: [p:vb] [t: i:འབྱང་ i:འབྱངས་ i:བྱང་ i:འབྱོངས་ ]] [s: [c.s: [b:MSA] «saṃkleśa-vyavadāna-pakṣa» ] [c.e: [HP] «spheres of the afflicted and the purified; the afflicted and the purified» ] ]
ཀུན་ནས་ཉོན་མོངས་པ་དང་རྣམ་པར་བྱང་བ་ཐ་དད་པར་ང་རྒྱལ་མེད་པ་	[E: [g: [p:vb] [t: i:འབྱང་ i:འབྱངས་ i:བྱང་ i:འབྱོངས་ ]] [s: [c.s: [b:MSA] «saṃkleśa-vyavadāna-bhede nirmāṇaḥ» ] [c.e: [HP] «without the pride/conceit [thinking] that the afflicted and the purified are different» ] ]
ཀུན་ནས་ཉོན་མོངས་པ་སྤང་བར་བྱ་བ་	[E: [g: [p:vb] [t: i:སྤང་ i:སྤོང་ i:སྤངས་ i:སྤོངས་ ]] [s: [c.s: [b:MSA] «saṃkleśa-prahāṇa» ] [c.e: [HP] «afflicted objects to be abandoned» ] ]
ཀུན་ནས་ཉོན་མོངས་པ་མེད་པ་	[E: [s: [c.s: [b:MSA] «asaṃkliṣṭa» ] [c.s: [b:MSA] «niḥsaṃkleśa» ] [c.s: [b:MSA,MV] «asaṃkleśa» ] [c.s: [b:MV] «saṃkleśa-abhāva» ] [c.e: [HP] «without affliction; non-afflicted» ] ]
