Tibetan	Description
བུདྡྷཿ	སངས་རྒྱས།
བྷགབཱན	བཅོམ་འདས་འདས།
ཏཐཱགཏཿ	དེ་བཞིན་གཤེགས་པ།
ཨརྷན	དགྲ་བཅོམ་པ།
སམྱཀྶཾ་བུདྡྷཿ	ཡང་དག་པར་རྫོགས་པའི་སངས་རྒྱས།
བིདྱཱཙརཎསམྤནྣཿ	རིག་པ་དང་ཞབས་སུ་ལྡན་པ།
སུགཏཿ	བདེ་བར་གཤེགས་པ།
ལོཀཔིཏ྄	འཇིག་རྟན་མཁྱེན་པ།
ཨནུཏྟརཔུརུཥདམྱསཱརཐིཿ	སྐྱེས་བུ་འདུལ་བའི་ཁ་ལོ་བསྒྱུར་བ་བླ་ན་མེད་པ།
ཤཱསྟཱ	སྟོན་པ།
ཛིནཿ	རྒྱལ་བ།
ལོཀཛྱཥྛཿ	འཇིག་རྟོན་གྱི་གཙོ་བོ།
སརྦཛྙཿ	ཐམས་ཅད་མཁྱེན་ནམ་ཀུན་མཁྱེན།
ཏཱཡི	སྐྱོབ་པ།
དེབཱཏིདེབཿ	ལྟ་ཡི་ཡང་ལྷ།
མཏཱརྵིཿ	དྲང་སྲོང་ཆེན་པོ།
དྷརྨྨསྭཱམཱི	ཆོས་ཀྱི་རྗེ།
རྀཥབྷཿ	ཁུ་མཆོག།
ནཱཡཀཿ	འདྲེན་པ།
པརིཎཱཡཀཿ	ཡོངས་སུ་འདྲེན་པ།
བིནཱཡཀཿ	རྣམ་པར་འདྲེན་པ།
ཨདྭཡབཱདཱི	གཉིས་སུ་མེད་པར་གསུང་བ།
སཽངྷཽདནིཿ	ཟས་གཙང་གི་སྲས།
དཤབལཿ	སྟོབས་བཅུ།
མཱརཛིཏ྄	བདུད་ཐུལ།
ཤཱཀྱཔུངྒབཿ	ཤཱཀྱ་སྐྱེས་མཆོག།
གོཔྟཱ	སྲུང་མཛད
མཏཱཏྨཱ	བདག་ཉིད་ཆེན་པོ།
བིཛཡཱི	རྣཾ་པར་རྒྱལ་བ་མངའ།
བིབྷུཿ	ཁྱབ་བདག།
བིཤྭནྟརཿ	ཐམས་ཅད་སྒྲོལ།
སརྦདྷརྨེཤྭརཿ	ཆོས་ཐམས་ཅད་ཀྱི་དབང་ཕྱུག།
བིརཱཊ྄	རྣམ་པར་མཛེས།
དྷཱིརཿ	བརྟན་པ།
གུཎསཱགརཿ	ཡོན་ཏན་རྒྱ་མཚོ།
ཤརཎྱཿ	སྐྱབས་འོས།
ཤརཎམ྄	སྐྱབས།
བཱདིསིཾཧཿ	སྨྲ་བའི་སེང་གེ།
ནརོཏྟམཿ	མི་མཆོག།
མཱརཱབྷིབྷཱུཿ	བདུད་ཟིལ་གྱིས་གནོན།
ཨཔྲཏིཔུངྒལཿ	གང་ཟག་ཟླ་མེད་པ།
བཱནྟདོཥཿ	སྐྱོན་བསལ་བ།
ཧཏབིཥཿ	དུག་བཅོམ་པ།
ཨནངྒཛིཏ྄	འུས་མེད་ཐུལ།
ཥིཌབྷིཛྙཿ	མངོན་པར་ཤེས་པ་དྲུག་དང་ལྡན་པ།
བྷབཱནྟཀྲྀྀཏ྄	སྲིད་མཐར་བྱེད།
ཨགྷཧནྟཿ	སྡིག་འཇོམས།
སིདྡྷཱརྠཿ	དོན་གྲུབ།
ཤཱཀྱིསིཾཧཿ	ཤཱཀྱ་སེང་གེ།
བརཱརྷཿ	མཆོག་དོན་འོས།
བརདཿ	མཆོག་སྦྱིན།
བཱིརཿ	དཔའ་བ།
ཤམིཏཱ	ཞི་བར་མཛད་པ།
ཤཱནྟཔཱཔཿ	སྡིག་པ་ཞི་བ།
ཤཱིཏཱིབྷཱུཏཿ	བསིལ་བར་གྱུར་པ།
ཤིབཾཀརཿ	ཤེས་མཛད།
ནིརྡྭནྡྭཿ	རྩོད་མེད།
ནིརྨམཿ	བདག་གི་བ་མེད་པ།
ནེཏཱ	མཚོན་པ།
ནིརབདྱཿ	ཁ་ན་མ་ཐོ་བ་མི་མངའ་བ།
ནིརྦྷཡཿ	བསྙེངས་པ་མི་མངའ་བ།
བཱིཏཏྲྀཥྞཱ	སྲེད་པ་དང་བྲལ་བ།
ནིརཱདཱནཿ	ལེན་པ་མི་མངའ་བ།
བིཤྲུཏཿ	རྣམ་པར་གྲགས་པ།
ཤུབྷདྷརྨཱཀརཿ	དགེ་བའི་ཆོས་ཀྱི་འབྱུང་གནས།
ཤུཙིཿ	གཙང་པ།
ཨནུཔམཿ	དཔེ་མེད་པ།
ཏྲིཀཱལཛྙཿ	དུས་གསུམ་མཁྱེན་པ།
བཱདཱི	གསུང་ལྡན།
ཏྲིདོཥོཔཧཱ	ཉེས་གསུམ་འཇོམས།
ཏྲིཔྲཱཏི་ཧཱརྱསམྤནྣཿ	ཆོ་འཕྲུལ་གསུམ་དང་ལྡན་པ།
ནིརྨལཿ	དྲི་མ་མེད་པ།
ཏྲིསྐནྡྷཔཐདེཤིཀཿ	ཕུང་པོ་གསུམ་གྱི་ལམ་སྟོན་པ།
ནིརྫྭརཿ	ནད་མི་མངའ་བ།
སཱུརྱབཾཤཿ	ཉི་མའི་རིགས།
ཨཱངྒཱིརསཿ	ཉི་མའི་རྒྱུད།
གཽཏམཿ	གཽ་ཏ་མ།
ཨིཀྵུཀུལནནྡནཿ	བུ་རམ་ཤིང་པའི་རིགས་དགའ་བ།
པྲབྷུཿ	མངའ་བདག།
བཻརོཙནཿ	རྣམ་པར་སྣང་མཛད།
ཨཀྵོབྷྱ	མི་འཁྲུགས་པ།
ཨམིཏཱབྷཿ	འོད་དཔག་མེད།
རཏྣསམྦྷབཿ	རིན་ཆེན་འབྱུང་ལྡན།
ཨམོགྷསིདྡྷིཿ	དོན་ཡོད་གྲུབ་པ།
བིཔཤྱཱི	རྣམ་པར་གཟིགས།
སིཁཱི	གཙུག་ཏོར་ཅན།
པིཤྭབྷུཀ྄	ཐམས་ཅད་སྐྱོབ།
ཀྲཀུཙྪནྡཿ	ལོག་དད་སེལ།
ཀྲཀུཏྶུནྡཿ	འཁོར་བ་འཇིག།
ཀནཀམུནིཿ	གསེར་ཐུབ།
ཀཱཤྱཔཿ	འོད་སྲུངས།
ཤཱཀྱམུནིཿ	ཤཱཀྱ་ཐུབ་པ།
དཱིཔཾཀརཿ	མར་མེ་མཛད།
པདྨནིཏྲཿ	པདྨའི་སྤྱན།
པྲཧསིཏནེཏྲཿ	སྤྱན་གསལ་རྒྱས།
རཏྣཤིཁཱི	རིན་ཆེན་གཙུག་ཏོར་ཅན།
མེགྷསྭརཿ	འབྲུག་སྒྲ།
སལཱིལག་ཛགཱམཱི	གླང་པོ་ཆེ་ལྟར་འགྱིང་ཞིང་བཞུད་པ།
ལོཀཱབྷིལཱཥཱི	འཇིག་རྟེན་མོས་པ།
སམནྟཔྲབྷཱབུདྡྷབྷཱུམིཿ	སངས་རྒྱས་ཀྱི་ས་ཀུན་ཏུ་འོད།
ཤཱིལསྐནྡྷཿ	ཚུལ་ཁྲིམས་ཀྱི་ཕུང་པོ།
སམཱདྷིསྐནྡྷཿ	ཏིང་ངེ་འཛིན་གྱི་ཕུང་པོ།
པྲཛྙཱསྐནྡྷཿ	ཤེས་རབ་ཀྱི་ཕུང་པོ།
པིམུཀྟིསྐནྡྷཿ	རྣཾ་པར་གྲོལ་བའི་ཕུང་པོ།
བིམུཀྟིཛྙཱནདརྴནསྐནྡྷ༔	རྣམ་པར་གྲོལ་པའི་ཡེ་ཤེས་མཐོང་བའི་ཕུང་པོ།
དྷརྨྨདྷཱཏུབིཤུདྡྷིཿ	ཆོས་ཀྱི་དབྱིངས་རྣམ་པར་དག་པ།
ཨཱདརྴཛྙཱནམ྄	མེ་ལོང་ལྟ་བུའི་ཡེ་ཤེས།
སམཏཱཛྙཱནམ྄	མཉཾ་པ་ཉིད་ཀྱི་ཡེ་ཤེས།
པྲཏྱཔེཀྵཎཛྙཱནམ྄	སོ་སོར་རྟོག་པའི་ཡེ་ཤེས
ཀྲྀྀཏྱཱནུཥྛཱནཛྙཱནམ྄	བྱ་བ་ནན་ཏན་དུ་གྲུབ་པའི་ཡེ་ཤེས།
དྷརྨྨཀཱཡཿ	ཆོས་ཀྱི་སྐུ།
སམྦྷོགཀཱཡཿ	ལོངས་སྤྱོད་རྫོཊ་པའི་སྐུ།
ནིརྨཱཎ་ཀཱཡཿ	།སྤྲུལ་པའི་སྐུ།
སྠཱནཱསྠཱནཛྙཱནབལམ྄	གནས་དང་གནས་མ་ཡིན་པ་མཁྱེན་པའི་སྟོབས།
ཀརྨབིཔཱཀཛྙཱནབལམ྄	ལས་ཀྱི་རྣམ་པར་སྨིན་པ་མཁྱེན་པའི་སྟོབས།
ནཱནཱབིམུཀྟིཛྙཱནབལམ྄	མོས་པ་སྣ་ཚོགས་པ་མཁྱེན་པའི་སྟོབས།
ནཱནཱདྷཱཏུཛྙཱནབལམ྄	ཁམས་སྣ་ཚོགས་པ་མཁྱེན་པའི་སྟོབས།
ཨིནྡྲིཡབརཱབརཛྙཱནབལམ྄	དབང་པོ་མཆོག་དང་མཆོག་མ་ཡིན་པ་མཁྱེན་པའི་སྟོབས།
སརྦཏྲགཱམིནཱིཔྲཏིཔནྠཛྙཱནབལམ྄	ཐམས་ཅད་དུ་འགྲོ་བའི་ལམ་མཁྱེན་པའི་སྟོབས།
སརྦདྷྱཱནབིམོཀྵསམཱདྷིསམཱཔཏྟིསཾཀླེཤབྱབདཱནབྱུཏྠཱནཛྙཱནབལམ྄	བསམ་གཏན་དང་རྣམ་པར་ཐར་པ་དང་ཏིང་ངེ་འཛིན་དང་སྙོམས་པར་འཇུག་པའི་ཀུན་ནས་ཉོན་མོངས་པ་དང་རྣམ་པར་བྱང་བ་དང་ལྡང་བ་ཐཾས་ཅད་མཁྱེན་པའི་སྟོབས།
པཱུརྦནིབཱསཱནུསྨྲྀཏིཛྙཱནབལམ྄	སྔོན་གྱི་གནས་རྗེས་སུ་དྲན་པ་མཁྱེན་པའི་ལྟོབས།
ཙྱུཏྱུཔཔཏྟིཛྙཱནབལམ྄	ཤི་འཕོ་བ་དང་སྐྱེ་བ་མཁྱེན་པའི་སྟོབས།
ཨཱསྲབཀྵཡཛྙཱནབལམ྄	།ཟག་པ་ཟད་པ་མཁྱེན་པའི་སྟོབས།
སརྦདྷརྨཱབྷིསམྦོདྷིབཻཤཱརདྱམ྄	ཆོས་ཐམས་ཅད་མངོན་པར་རྫོགས་པར་བྱང་ཆུབ་པ་ལ་མི་འཇིགས་པ།
སརྦཱསྲབཀྵཡཛྙཱནབཻཤཱརདྱམ྄	ཟག་པ་ཐམས་ཅད་ཟད་པར་མཁྱེན་པ་ལ་མི་འཇིགས་པ།
ཨནྟརཱཡིཀདྷརྨྨཱནནྱཐཱཏྭནིཤྩིཏབྱཱཀརཎབཻཤཱརདྱམ྄	བར་དུ་གཅོད་པའི་ཆོས་རྣམས་གཞན་དུ་མི་འགྱུར་བར་ངེས་པའི་ལུང་བསྟན་པ་ལ་མི་འཇིགས་པ།
སརྦསམྤདདྷིགམཱཡནཻརྱཎིཀཔྲཏིཔཏྟཐཱཏྭབཻཤཱརདྱམ	།ཕུན་སུམ་ཚོགས་པ་ཐམས་ཅད་འཐོབ་པར་འགྱུར་བ་ངེས་པར་འབྱུང་བའི་ལམ་དེ་བཞིན་དུ་འགྱུར་བ་ལ་མི་འཇིགས་པ།
ནཱསྟིཏཐཱགཏསྱསྑལིཏམ྄	དེ་བཞིན་གཤེགས་པ་ལ་འཁྲུལ་པ་མེད་པ།
ནཱསྟིརབིཏམ྄	ཅ་ཅོ་མེད་པ།
ནཱསྟིམུཥིཏསྨྲྀཏིཏཱ	བསྙེལ་བ་མེད་པ།
ནཱསྟྱསམཱཧིཏཙིཏྟཾ	སེམས་མཉམ་པར་མ་བཞག་པ་མེད་པ།
ནཱསྟིནཱནཱཏྭསཾཛྙཱ	ཐ་དད་པའི་འདུ་ཤེས་མེད་པ།
ནཱསྟྱཔྲཏིསཾཁྱཱཡོཔེཀྵཱ	སོ་སོར་མ་བརྟགས་པའི་བཏང་སྙོམས་མེད་པ།
ནཱསྟིཙྪནྡསྱཧཱནིཿ	འདུན་པ་ཉམས་པ་མེད་པ།
ནཱསྟིབཱིརྱསྱཏཱནིཿ	བརྩོན་འགྲུས་ཉམས་པ་མེད་པ།
ནཱསྟིསྨྲྀཏེཧཱནིཿ	དྲན་པ་ཉཾས་པ་མེད་པ།
ནཱསྟིསམཱདྷེརྷཱནིཿ	ཏིང་ངེ་འཛིན་ཉམས་པ་མེད་པ།
ནཱསྟིཔྲཛྙཱཡཱརྷཱནིཿ	ཤེས་རབ་ཉམས་པ་མེད་པ།
ནཱསྟིཔིམུཀྟེརྷཱནིཿ	རྣམ་པར་གྲོལ་བ་ཉམས་པ་མེད་པ།
སརྦཀཱཡཀརྨཛྙཱནཔཱུརྦཾགམཾཛྙཱནཱནུཔརིབརྟྟཱི	ལུས་ཀྱི་ལས་ཐམས་ཅད་ཡེ་ཤེས་སྔོན་དུ་འགྲོ་ཞིང་ཡེ་ཤེས་ཀྱི་རྗེས་སུ་འབྲང་བ།
