Tibetan	Description
ཀུད་	ཀུད་gives as the present of བཀུ་
ཀུམ་	/p.ཀུམ་ /ps.ཀུམ་ /f.ཀུམ་/int. /m. (archaic) To die./n. Compare: 'gum
ཀེར་	/p.ཀེར་ /ps.ཀེརད་ ཀེར་ /f.ཀེར་/imp.ཀེརད་ -./inv. /vl./int. /synt. [a.o] /m. To erect, to point a finger toward the sky To raise, lift up. To raise up (e.g. a finger) To arise, get up.
ཀོང་	ཀོང་ gives as the present of བཀོང་
ཀྲང་	/aux.ཀྲང་ (ངག་དབང་ཚུལ་ཁྲིམ་ 1997)./fn.(archaic, main verb un-negated) Signifies the successful execution of an action.(archaic) A question word similar to gam, ngam, &c. (ངགདབངཚུལཁྲིམ་ 1997)./n. Compare: གྲང་2
ཀྲབས་	ཀྲབས་ gives as the present of བཀྲབ་
ཀྲོངས་	ཀྲོངས་ gives as the present of དགྲོངས་
ཀླན་	/p.ཀླན་ /ps.ཀླན་ /f.ཀླན་/tr., m. 1. To wreak revenge for. [2. To mend, to patch] 1. To avenge, to take revenge. 2. To answer, counter (archaic) To answer, counter.
ཀླལ་	ཀླལ་  give as a present of གླལ་
ཀླས་	/p.ཀླས་(ngag dbang tshul khrim 1997)/m. To be beyond, further￼than 1. To forget. 2. To arrive at the depths, meet the limit. 3. To understand (ngag dbang tshul khrim 1997)./n. prefer to see this as an adjective.
ཀླུབ་	/p.ཀླུབ་ /ps.ཀླུབས་ /f.ཀླུབ་/imp.ཀླུབས་/cs.ལྷུབ་པ་/m. To cover the body with ornaments (Ja), to put on luxuriously (Cs), to set up a tent To put on; to wear./n. Root given as klub < *s-'-ལྷུབ་ *b-ལྷུབ་? 
ཀླུབ་	/p.ཀླུབས་ཀླུབ་ /ps.བླུབས་(see note). བཀླུབས་ /f.ཀླུབས་
བཀླུབ་	བཀླུབ་/imp.ལྷུབས་(see note).klubs /vl. /tr/synt. [e.a]./cs.lhub pa[Chang 1971: iv.13]/ch.ex.ན་བཟའ་སོགས་/m. To adorn, put on another person; to make someone put on To ornament, put on clothes 1. To wear. 2. To adorn, decorate./n. Root given as g + lhub./n. For the form blubs (a. 1680) see (Eimer 1987); suggests the inflection ཀླུབ་ བླུབས་ *ཀླུབ་ *ལྷུབས་; for the imperative he compares lhab lhub 'excessively bedecked'.
ཀློག་	/p.ཀློག་ /ps.བླགས་(see note).bklags.klags. /f.བཀླག་ TD ཧས་ བཀྲག bya as the future, but this is obviously a mistake. klag/imp.ཀློགས་ལྷོགས་ /vl., /tr/synt. [e.a] /ch.ex.མདོ་སྔ་སོགས་bka' bstan dang yi ge sogs. ཡིགེ་/m. To read To read aloud./n. Root given as klag < *s-'-ལྷག་ *g + ལྷག་/n. This form was first noted by (Nobel 1955) it is discussed in (de Jong 1974) who finds the forms p+lags, ph+lags, and p+ལྷགས་ as well. suggests the inflection klog, blags, klag, ལྷོགས་
དཀག་	/p.དཀག་ /ps.དཀག་ /f.དཀག་/int./m. (of a melted liquid ) To solidify in the process of cooling.
དཀའ་	/p.དཀའ་ /ps.དཀའ་/synt. [a.o] /m. To be difficult.
དཀུ་	/p.དཀུ་ /ps.དཀུ་ /f.དཀུ་/imp.- /int/synt. [Abs, Obl.] /m.To drip, come down, fall.1. To brew, exude. 2. To fall. 3. (archaic) To remain, be left behind.
དཀོནད་	/p.དཀོནད་ /ps.དཀོནད་ /f.དཀོན་/imp.དཀོནད་/ch.ex.འཇིགརྟེནསོགསསུ་/m. To appear (ངག་དབང་ཚུལ་ཁྲིམས་ 1997).
དཀྱུ་	/p.དཀྱུ་ (archaic)འཁྱུས་ /ps.དཀྱུས་ /f.དཀྱུ་/imp.དཀྱུས་/tr/synt. [e.a]./cs. འཁྱུས་[] /ch.ex.རྟ་སོགས་bros pa'i/m. 1. To run a race 2. To wring out; to filter (Sch.) 3. To caper about (Ja) To race, to run away To race (a horse, mule, &c.) To control, ride a horse./n. see note at འཁྱུས་
དཀྱུད་	/p.དཀྱུད་/m. To forget.
དཀྲི་	/p.དཀྲི་བཀྲི་ /ps.དཀྲིས་ /f.དཀྲི་/imp.དཀྲིས་-./inv. /vl. /tr./synt. [e.a]./cs.འཁྲི་ འཁྲིལ་ /ch.ex.དར་སོགས་ཀྱིས་dar sogs/m. 1. (archaic) To conduct one's pupil from one stage of learning to another stage. 2. To wind; to wrap around. 3. To ensnare To wind, to wrap up; to roll up To bind something with string or rope 1. To bind, to tie. 2. To cover, impose, accuse, deprecate.
དཀྲིག་	/p.དཀྲིག་ /ps.དཀྲིགས་ /f.དཀྲིག་/imp.ཁྲིགས་LS. དཀྲིགས་ /vl. /tr/synt. [a.o]./cs.འཁྲིག་/ch.ex.དུ་སྤྲིན་སོགས་/m. To make overcast; to gather clouds [sic], to pile up To fill up (with clouds, smoke &c.).To obscure.
དཀྲུག་	/p.དཀྲུག་ /ps.དཀྲུགས་  /f.དཀྲུག་ /imp.དཀྲུགས་ /vl. /tr. /synt. [e.a]./cs.འཁྲུག་ .Cognate with:sprug/ch.ex.ཞོ་དང་ཐུགས་སོགས་/m. To disturb, put in motion; to turn, turn on a lathe To stir up; to disturb; to agitate; to disunite; to create differences by instigation 1. To stir, churn (a kind of liquid with a stick). 2. To be unharmonious, disagreeable. 3. To finish, conclude 1. To disturb, stir, churn. 2. To agitate, disrupt. 3. To carve by turning on a lathe./n. Root given as dkrug < *b-krug./n. Compare: dkrog.
དཀྲུམ་	/p.དཀྲུམ་ /ps.དཀྲུམས་ /f.དཀྲུམ་/imp.དཀྲུམས་ /vl. /tr/synt. [e.a] /ch.ex.ཅོངཞི་སོགས་ /m. To break; to crack To break into bits To break (fragile objects).
དཀྲོག་	/p.དཀྲོག་ དཀྲོགས་ /ps.དཀྲོགས་ /f.དཀྲོག་/imp.དཀྲོགས་ - /vl. /inv./tr/synt. [e.a].Active of:skrog. /cs.འཁྲོག་ [Duff]/ch.ex.ཞོ་སོགས་ sto dang bya sogs(dkrogs).zho dang bya sogs(dkrogs). zho (-) /m. 1. To churn; to agitate, mingle, trouble. 2. To rouse; scare up; to wag, e.g. the tail (Ja) To stir up; to churn; to give a feeling of surprise to; to disturb; to open. 1. To stir, churn. 2. To startle, surprise 1. To churn, agitate, stir. 2. To disturb./n. Root given as dkrog < b-krog /n. Compare: dkrug
དཀྲོལ་	དཀྲོལ་ give as the present of འཁྲོལ༡་
བཀན་	/p.བཀན་ /ps.བཀནད་ བཀན་ /f.བཀན་/imp.བཀནད་ -.བཀན་ /vl. /inv.ND/tr/synt. [e.a] /ch.ex.ལུས་དང་ཐལ་མོ་སོགས་ lag par sogs(bkand).lag pa sogs(bkand).lag pas(-) /m. 1. To up-root, turn up anything by applying a stick at its foot or root. 2. To bend. 3. To put; to press; to apply (Ja). 4. To hold fast; to extend (Cs). 1. To raise up. 2. To firmly press 1. To turn face upwards. 2. To hold firmly, to press down. 3. To neglect.
བཀུ་	/p.བཀུ་ ཀུད་ /ps.བཀུས་ /f.བཀུ་/imp.ཀུས་ བཀུས་ /vl./tr/synt. [e.a]./res.skud[].Denominative of:ཁུ་བ་ «juice»/ch.ex.སྨན་གྱི་ཁུ་བ་སོགས་ sman dang snum sogs/m. To make extract of a drug by drawing out the juice To extract juice by boiling.To extract a medicinal infusion.
བཀུར་	/p.བཀུར་འཁུར་  /ps.བཀུརད་ བཀུར་ /f.བཀུར་/imp.བཀུར་ཁུརད་ /vl. /tr/synt. [e.a] /ch.ex.མཆོག་དང་གོང་དུ་gtsug tu /m. I. To pay homage or reverence; to esteem. 2. To slander, to blaspheme To respect, venerate To respect.To make offering, serve, respect.
བཀུར་	བཀུར་ gives as a present of འཁུར་
བཀོང་	/p.བཀོང་ ཀོང་ /ps.བཀོངས་ བཀོང་ /f.བཀོང་/imp.བཀོང་ ཀོངས་ /vl. /tr. /synt. [e.a] /ch.ex.སྦ་སོགས་ /m. To break the pride of somebody; to cause￼to become a coward To discourage, intimidate, humble To frighten, intimidate, discourage./n. Compare: འཁོང་ and འགོང་
བཀོང་	/p.བཀོང་ /ps.བཀོང་ /f.བཀོང་/int. /m. To be wrinkled.
བཀོན་	བཀོན་ give as the present of འཁོན་
བཀོལ་	བཀོལ་ give as the present of འཁོལ༣་
བཀྱོན་	/p.བཀྱོན་ /ps.བཀྱོནད་ བཀྱོན་ /f.བཀྱོན་/imp.བཀྱོན་ བཀྱོནད་ /vl. /tr. /synt. [e.a] /ch.ex.ཚིག་གམ་བཀས་/m. To beat, to chastise To scold; to admonish (honorific) To speak roughly to someone (honorific) To scold, reprimand.
བཀྲ་	/p.བཀྲ་ /ps.བཀྲ་/m. To be beautiful, clear, multicolored (, list as an adject ive).
བཀྲགས་	Past (?):bkrags. /vl./synt. [e.a] /m. To roast, grill./n. imply a connection to sreg
བཀྲབ་	/p.ཀྲབས་ བཀྲབ་ /ps.བཀྲབས་ /f.བཀྲབ་/imp.ཀྲོབས་ བཀྲབས་ བཀྲོབས /vl. /tr/synt. [e.a] /ch.ex.འཁོར་དང་གྲོགས་སོགས་/m. To choose or select from among many (archaic) To select from among many To choose, select.
བཀྲལ་	/p.བཀྲལ་ འགྲེལ་ /ps.བཀྲལ་ བཀྲལད་ /f.བཀྲལ་ /imp.བཀྲོལ་ འགྲེལད་ /vl./tr.Denominative of:ཁྲལ་ «tax»[]/m. To appoint To share tax payment To impose (a tax).
བཀྲི་	བཀྲི་ (archaic) give as the present of འཁྲིད༡་
བཀྲུག་	བཀྲུག་ (Ja) give as an alternate or erroneous present of དཀྲུག་
