Tibetan Description
རྣམ་པར་སྣང་མཛད་	 Vairochana
འདུས་པ་ 	(?) assembly
གང་ཟག་	(ordinary) person
ཞལ་	[Hon] mouth | [Hon] face
ལས་དང་པོ་པ་ 	a beginner
བཤེས་	a friend
སྤྱོད་འཇུག་	a Guide to the Bodhisattva's Way of Life
དགོན་པ་	A remote place / a retreat / monastery
ལྷ་མོ་བཞིས་ཞུས་པ་	a Request by Four Female Deities
བསྟན་པ་ 	a teaching
ཆོས་མངོན་པ་མཛོད་	Abhidharmakosha
དོན་དམ་	absolute
རྒྱས་ 	abundant, extensive, elaborate
གྲུབ་	accomplished
གྲུབ་ཐོབ་	accomplished yogi
དངོས་གྲུབ་	accomplishment
དངོས་གྲུབ་	accomplishment
ཚོགས་བསགས་པ་	accumulation of the accumulations
འཕྲིན་ལས་ 	action | activity
བྱ་རྒྱུད་ཀྱི་ཐེག་པ་	Action Tantra Vehicle
ཀརྨ་	activity | karma
བརྒྱན་པ་བཀོད་པ་ཆེན་པོ་	Adorned Great Display Tantra 
གློ་བུར་གྱི་དྲི་མ་	adventitious stains
ལྟ་བ་ཉོན་མོངས་ཅན་	afflicted view
ཉོན་མོངས་	affliction
ཉོན་མོངས་པ་ 	afflictive emotions
སུམ་ལྡན་	Age of Three or Triads
ཉིས་ལྡན་	Age of Two
དོན་ 	aim, purpose, for the sake of, in order to, meaning
མི་བསྐྱོད་པ་	Akshobhya
མི་འཁྲུགས་པ་	Akshobhyah
ཀུན་གཞིའི་རྣམ་ཤེས་	Alaya consciousness 
ཀུན་བྱེད་	all creator doer of all
རེས་མོས་	alternating one after another
ནམ་ཡང་ 	always
དབེན་ས་	an isolated place
དཔྱོད་པ་	analysis
དཔྱད་སྒོམ་	analytical cultivation
ཁོང་ཁྲོ་	anger
སྣང་བ་ 	appearance
སྣང་བ་	appearance
བྱང་ཆུབ་མཆོག་ཏུ་སེམས་བསྐྱེད་ 	arise the mind set on supreme enlightenment
སྐྱེས་	Arise/emerge
སྐྱེས་སྦྱོར་	Arising union/ emergent union
མཆན་ཁུང་	arm-pit
གོ་ཆག་	Armour
ཤེས་རབ་ཀྱི་གོ་ཆ་	Armour of wisdom
བཀོད་པ་	arrangement | arranged
སླེབ་པ་ 	arrive
བསྟོད་པ་གླུར་བླངས་ཀྱི་རྒྱུད་	Arya Manjushri Nama Samgiti Tantra
ཐལ་བ་	ashes 
ཆ་	aspect, part
འདུན་པ་	aspiration
ཞེན་པ་	Attachment
མངོན་དུ་བྱས་	attaining
སྤྱན་རས་གཟིགས་བརྟུལ་ཞུགས་	Avalokitavrata
རིག་པ་	awareness | knowledge
གཞི་	base | basis
གཞི་བསྡུ་བ་	Base Collector 
བློས་བྱས་ཀྱི་གཞི་ 	basis of mind-made fabrications
འགྱུར་	become, transform, translate
འགྲོ་བ་ 	being
ཕན་བདེ་	benefit and ease
གསོལ་	beseech
འཇིག་རྟེན་ལས་འདས་པ་	beyond the world  
གསོག་པ་ཚོགས་ཀྱི་རྒྱུད་ཆེ་ཆུང་	Big and Small Tantra of Collection of Ritual Performances 
གཏོར་མའི་རྒྱུད་ཆེ་ཆུང་	Big and Small Torma Tantra  
ཇེ་ཆེ་	bigger
བཅིངས་ 	bind
སྡོམ་པ་འབྱུང་བའི་རྒྱུད་	Binding to the Origin Tantra 
སྐྱེ་བ་མེད	birthless
བི་ཏོ་ཏ་མ་ལ་	bitotamala
གཤིན་རྗེའི་གཤེད་དགྲ་ནག་	Black Yamantaka 
མེ་ལྟར་འབར་བའི་རྒྱུད་	Blazing Like Fire Tantra  
བྱིན་གྱིས་བརླབ་པ་	blessing
བཀག་པ་	blocked
ཡེ་ཤེས་རྒྱས་པས་གཞི་དང་མཉམ་པའི་རྒྱུད་	Blossoming Wisdom Basis Tantra  
སེམས་སྐྱིལ་	bodhisattva posture
བྱང་ཆུབ་ཀྱི་སེམས་ཀུན་བྱེད་རྒྱལ་པོ་	Bodhisattva the All-creating King Tantra
བྱང་ཆུབ་སེམས་དཔའི་ཐེག་པ་	Bodhisattva Vehicle
ཆིངས་ 	bond
ཕ་བོང་ 	boulder
མཚམས་	boundary | border-line
ཡན་ལག་	branch | limb
དཔའ་	brave 
སངས་རྒྱས་ཐོད་པའི་རྒྱུད་	Buddha Skull Tantra 
སངས་རྒྱས་	Buddha/ Buddhahood
སངས་རྒྱས་ཀྱི་སྐུ་	Buddhakaya
རིགས་ལྔའི་སངས་རྒྱས་	Buddhas of five families
ཤ་ཟ་འདྲེ་	Cannibal Demon
རྒྱུའི་ཏིང་ངེ་འཛིན་	cause single-pointed concentration
ངེས་པར་རྒྱུ་བའི་རླུང་	certainly moving loong
བདེ་མཆོག་འཁོར་ལོ་	Chakrasamvara Tantra
བདེ་མཆོག་ར་ལིའི་རྒྱུད་	Chakrasamvara Tantra  
འཕོ་འགྱུར་མེད་པ	changeless 
དུར་ཁྲོད་	charnel ground
རིགས་	class, family, lineage, kind, destination (NOTE: this term is also used for "Buddha nature")
རྣམ་གྲངས་ 	classification, enumeration
ཚིག་གསལ་བ་	Clear Words
ཉེ་བར་	close
ཉེ་བར་འཇོག་པ་	close placement
ལྷན་ཅིག་སྐྱེས་སྦྱོར་	Co-emergent union
འདུ་ཤེས་	cognition | perception
བསྡུས་པ་སྟོན་པ་ཀུན་སྤྱོད་ཀྱི་རྒྱུད་	Collected Teachings on the Right Conduct Tantra 
སེམས་ཉིད་མཉམ་རྫོགས་ཆེན་པོར་སྟོན་པ་ཐིག་ལེ་འདུས་པ་	Collection of Essences Tantra
དབང་ཆེན་འདུས་པ་	Collection of Great Power Tantra 
འགྲེལ་བ་	commentary
རྒྱུད་བླ་མའི་འགྲེལ་པ་	commentary on the Highest Continuum
བཀའ་གསུམ་གྱི་དོན་འགྲེལ་བ་	commentary on Three Kinds of Transmitted Precept
ཁས་བླངས་	Commitment / promise
སོ་སོ་སྐྱེ་བོ་	common people
ཀུན་ལས་བཏུས་པ་	compendium
ཡེ་ཤེས་རྡོ་རྗེ་ཀུན་ལས་བཏུས་པ་	Compendium of Vajra Wisdom  
རྫོགས་	complete
རྫོགས་ལྡན་གྱི་དུས་	Complete era
རྣམ་ཐར་	Complete liberation
རྣམ་དག་	complete purity
རྫོགས་པ་	completion 
རྫོགས་རིམ་	completion stage
གཞལ་ 	comprehend
མཇུག་	conclusion | ending
རྗེས་སུ་མཐུན་པའི་ཆོས་	Concordant Dharma
སྡུད་པ་	Condensed Perfection of Wisdom Sutra 
དད་པ་ 	confidence
རྣམ་ཤེས་	consciousness 
བསམ་གཏན་རྒྱུན་ཆགས་ཀྱི་རྒྱུད་	Continuous Meditation Tantra  
རྒྱུན་དུ་འཇོག་པ་	continuous placement
རྒྱུན་བརྟན་པོ་	continuously steady
བརྒལ་བ་ 	contradiction
སླད་པ་	Corrupted 
བཀབ་	cover
བཟོ་བོ་སྤྲུལ་སྐུ་	craft nirmanakaya
སྐྱིལ་ཀྲུང་	Crossed (legs)
ཐོད་རྒལ་	crossing-over
ཅོད་པན་	crown
གཙུག་ཏོར་	crown protuberance
ཁུ་བྱུག་	cuckoo 
སྒོམ་	cultivate
བསྒོམས་པ 	cultivated (past tense of cultivate), meditated
སྒོམ་པ་	cultivation
ཁྲེགས་ཆོད་	cutting-through
མཁའ་འགྲོ་	Dakini
ཉེན་ཁ་ 	danger
རྩོད་པ་	debate strife
ངེས་པ་	definite | certain
ངེས་པ་སྙིང་པོའི་རྒྱུད་	Definite Essence Tantra 
ངེས་པ་དོན་ 	definite meaning
མཚན་ཉིད་ 	definition, characteristics
སྡིག་སྒྲིབ་	degradations and obscurations
བདུད་ཀྱི་རྒྱལ་པོ་དགའ་རབ་དབང་ཕྱུག་	Demonic King Garab Wangchuk
སྟུག་པོ་བཀོད་པ་	densely arrayed
འདོད་ཆགས་	desire
ཞིང་བཅུ་རོལ་པའི་རྒྱུད་	Destroyer Tantra of the Display of Ten Objects
བྱེ་བྲག་ཏུ་བཤད་པ་ 	detailed explanation
ལྷའི་བུ་	devaputra
མོས་གུས་	Devotion
གཟུངས་	dharani
ཆོས་ 	Dharma | phenomena
ཆོས་སྤྱོད་	Dharma activity
རྟོགས་པའི་ཆོས་	Dharma of realization
ཆོས་གོས་	Dharma robes
ཆོས་ཀྱི་དབྱིངས་	Dharmadhatu
ཆོས་སྐུ་	dharmakaya
ཆོས་སྐུའི་ངང་	dharmakaya state
ཆོས་ཉིད་	Dharmata
སྡེ་པ་ཐ་དད་པར་ཀློག་པའི་འཁོར་ལོ་	different schools of wheel of reading
བདེན་གཉིས་འབྱེད་པ་	Differentiation of the Two Truths
ཕྱོགས་ཀྱི་གླང་པོ་	Dignaga
ཐད་དུ་	directly in front of 
གདུལ་བྱ་	disciple, the one to be tamed
ཀུན་དུ་རྟོག་པ་ཆ་དང་བཅས་པ་	discursive thought along with its aspects
འཕྲུལ་བ་	display | emanation
རོལ་པ་	display play
སྡུ་བ་	dissolution
ཐ་དད་པ་	distinct
སྐྱེ་བ་སྤྲུལ་སྐུ་	diverse nirmanakaya
ཐུར་སེལ་གྱི་རླུང་	downward voiding loong
གཉིས་འཛིན་	Dualistic grasping
ས་བདག་	Earth Lords
བདེ་བ་	ease
བདེ་བ་འཕྲ་བཀོད་ 	Ease Mounted Ornament Tantra
བདེ་བའི་མྱུ་གུ་	Ease Sprout Tantra 
འབད་རྩོལ་	effort-filled endeavour
བརྒྱད་སྟོང་འགྲེལ་ཆེན་	Eight Thousand Detailed Commentaries
གྲུ་མོ་	elbow
འབྱུང་པོ་	elemental spirits
འཕྲུལ་བྱས་པ་ 	emanated
འཕྲིན་ལས་ཀྱི་རྒྱུད་ཀརྨ་སྒྱུ་འཕྲུལ་དྲ་བ་	Emanated Net of Karma 
སྐུའི་རྒྱུད་འཇམ་དཔལ་སྒྱུ་འཕྲུལ་དྲ་བ་	Emanated Net of Manjushri  
འཇམ་དཔལ་སྒྱུ་འཕྲུལ་དྲ་བ་	Emanated Net of Manjushri Tantra  
སྤྲུལ་པ་ 	emanation
དབང་བསྐུར་བའི་	empowerment
དབང་བསྐུར་བའི་རྒྱུད་	Empowerment Tantra  
བྱང་ཆུབ་	enlightenment
རིག་པ་བྱང་ཆུབ་ཀྱི་སེམས་	enlightenment mind awareness 
བྱང་ཆུབ་ཀྱི་སེམས་	enlightment mind 
ལྡང་བ་ 	enough
དབུ་མ་ལ་འཇུག་པ་	Entering the Middle Way
ཐམས་ཅད་གསང་བའི་ཐུགས་	Entirely Secret Mind Tantra 
ཆོས་ཀྱི་རྣམ་གྲངས་	enumeration of dharmas
བསྐལ་པ་ 	eon
བརྒྱལ་ནད་	epilepsy
རི་རབ་ཟོམ་རྒྱ་མཚོ་དང་མཉམ་པའི་རྒྱུད་	Equal to Ocean, Peak of Mt. Meru Tantra 
དཔལ་གསང་བ་འདུས་པ་ནམ་མཁའ་དང་མཉམ་པའི་རྒྱུད་	Equal to Space Guhyasamaja Tantra  
ནམ་མཁའ་དང་མཉམ་པའི་རྒྱུད་	Equal to the Extent of Space Tantra 
སངས་རྒྱས་མཉམ་སྦྱོར་	Equalizing Buddhahood Tantra
སྐལ་པ་མཉམ་པ་ 	equally fortunate
སྙོམས་འཇུག་	equilibrium
མཉམ་པར་འཇོག་པ་	equipose
མཉམ་བཞག་	equipose
རྩོད་ལྡན་གྱི་དུས་	Era of Strife
སྙིང་པོ་ 	essence
ངོ་བོ་	essence
ཐིག་ལེ་ 	essence / vital essence
སྙིང་པོའི་དོན་ 	essential meaning
སྙིང་པོའི་རྣལ་འབྱོར་པ་	essential yogi
གདོན་	evil spirits
སྒྲོ་འདོགས་	exaggeration
གྱ་ནོམ་པ་	excellence
གྱ་ནོམ་གྱི་འདོད་ཆགས་	excellent desire
ཆར་སྤྲིན་བཟང་པོ་	excellent rainclouds
ཟད་པ་	exhaustion
རྒྱས་པ་	expand
རྒྱ་ཆེར་སྤེལ་བྱས་ 	expanded
དབྱིངས་	expanse
ལྷག་མ་མེད་པའི་དབྱིངས་	expanse of phenomena
ནམ་མཁའི་དབྱིངས་	expanse of the sky
བཤད་པ་	explanation
བརྗོད་པར་བྱ་བ་ 	expressible
མཚན་བརྗོད་	Expressing the Names 
རྡོ་རྗེ་མཁའ་འགྲོ་བསྐྱེད་རིམ་རྒྱས་པར་སྟོན་པའི་རྒྱུད་	Exstensive Demonstration of Vajradakini Generation Stages Tantra 
རྒྱ་ཆེ་བ	extensive, vast
ཐུན་མོང་མ་ཡིན་པ་ཁ་ཅིག་	extraordinary person
མཐའ་	extremes | edge | outer limit
ཡུལ་གྱིས་བསྐལ་པ་	far apart
འཇིགས་	fear 
འཇིགས་མེད་	fearless | without fear
གཤང་	feces
ལྷ་མོ་	female deity
ཀུན་རྫོབ་ཀྱི་རྩ་	fictional channels
སྒྱུ་མ་ངལ་གསོ་	Finding Rest From Illusion
མེ་མཉམ་གྱི་རླུང་	fire accompanying loong
སྦྱིན་སྲེག་གི་རྒྱུད་	Fire Offering Tantra  
དམ་ཟབ་	firm and deep
ངེས་པ་ལྔ་	Five Certainties
རིགས་ལྔ་	five classes (of buddhas)
ལམ་ལྔ་ 	Five Paths
ལམ་ལྔ་	Five paths
རྡོ་རྗེ་དབྱིངས་རྩ་བའི་རྒྱུད་སྟོང་ཕྲག་ལྔ་པ་ལེ་ལག་དང་བཅས་པ་	Five Thousand Paragraph Root Tantra of Indestructible Expanse  
